Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jimmy Butler,27,76,75,2809,570,1252,.455,91,248,.367,479,1004,.477,.492,585,676,.865,129,341,470,417,143,32,159,112,1816
2,Robin Lopez,28,81,81,2271,382,775,.493,0,2,.000,382,773,.494,.493,75,104,.721,244,276,520,80,18,117,91,151,839
3,Rajon Rondo,30,69,42,1843,229,561,.408,50,133,.376,179,428,.418,.453,30,50,.600,73,282,355,461,99,11,169,144,538
4,Dwyane Wade,35,60,59,1792,414,955,.434,45,145,.310,369,810,.456,.457,223,281,.794,63,207,270,228,86,41,138,112,1096
5,Nikola Mirotić,25,70,15,1679,258,625,.413,129,377,.342,129,248,.520,.516,99,128,.773,61,323,384,75,53,55,80,128,744
6,Taj Gibson,31,55,55,1502,276,530,.521,2,12,.167,274,518,.529,.523,85,119,.714,120,262,382,60,27,50,77,123,639
7,Doug McDermott,25,44,4,1078,166,373,.445,56,150,.373,110,223,.493,.520,59,67,.881,14,116,130,45,11,4,32,57,447
8,Cristiano Felício,24,66,0,1040,128,221,.579,0,0,,128,221,.579,.579,60,93,.645,124,187,311,40,25,17,33,110,316
9,Jerian Grant,24,63,28,1028,128,301,.425,49,134,.366,79,167,.473,.507,65,73,.890,17,94,111,121,47,8,44,93,370
10,Bobby Portis,21,64,13,1000,183,375,.488,32,96,.333,151,279,.541,.531,39,59,.661,75,221,296,35,16,11,37,94,437
11,Denzel Valentine,23,57,0,976,102,288,.354,73,208,.351,29,80,.363,.481,14,18,.778,11,140,151,63,30,7,49,86,291
12,Michael Carter-Williams,25,45,19,846,112,306,.366,15,64,.234,97,242,.401,.391,58,77,.753,24,129,153,113,38,23,66,102,297
13,Paul Zipser,22,44,18,843,88,221,.398,33,99,.333,55,122,.451,.473,31,40,.775,15,110,125,36,15,16,40,78,240
14,Isaiah Canaan,25,39,0,592,63,173,.364,25,94,.266,38,79,.481,.436,30,33,.909,6,44,50,37,22,1,21,35,181
15,Joffrey Lauvergne,25,20,1,241,37,92,.402,6,20,.300,31,72,.431,.435,9,15,.600,21,47,68,19,7,0,16,12,89
16,Cameron Payne,22,11,0,142,21,63,.333,11,34,.324,10,29,.345,.421,1,4,.250,1,16,17,15,4,0,13,14,54
17,Anthony Morrow,31,9,0,87,12,29,.414,6,14,.429,6,15,.400,.517,11,11,1.000,1,1,2,6,2,0,0,4,41
18,R.J. Hunter,23,3,0,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0
