Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Andrew Wiggins,22,82,82,2979,569,1300,.438,112,338,.331,457,962,.475,.481,202,314,.643,82,276,358,160,91,51,138,163,1452
2,Karl-Anthony Towns,22,82,82,2918,639,1172,.545,120,285,.421,519,887,.585,.596,345,402,.858,238,774,1012,199,64,115,159,285,1743
3,Taj Gibson,32,82,82,2726,425,737,.577,7,35,.200,418,702,.595,.581,142,185,.768,194,390,584,99,62,59,89,218,999
4,Jeff Teague,29,70,70,2311,354,794,.446,84,228,.368,270,566,.477,.499,202,239,.845,24,185,209,492,102,23,177,171,994
5,Jimmy Butler,28,59,59,2164,437,921,.474,70,200,.350,367,721,.509,.512,363,425,.854,79,235,314,288,116,24,108,78,1307
6,Jamal Crawford,37,80,0,1653,308,742,.415,104,314,.331,204,428,.477,.485,102,113,.903,21,78,99,185,40,9,95,85,822
7,Tyus Jones,21,82,11,1467,150,328,.457,45,129,.349,105,199,.528,.526,71,81,.877,16,116,132,232,95,6,59,110,416
8,Nemanja Bjelica,29,67,21,1371,171,371,.461,76,183,.415,95,188,.505,.563,36,45,.800,53,221,274,86,50,16,52,141,454
9,Gorgui Dieng,28,79,0,1333,186,388,.479,19,61,.311,167,327,.511,.504,79,102,.775,106,254,360,71,45,39,59,147,470
10,Shabazz Muhammad,25,32,2,301,47,121,.388,4,19,.211,43,102,.422,.405,22,31,.710,15,30,45,7,5,2,5,23,120
11,Marcus Georges-Hunt,23,42,0,224,21,48,.438,4,15,.267,17,33,.515,.479,13,21,.619,7,9,16,7,6,0,3,32,59
12,Aaron Brooks,33,32,1,189,28,69,.406,11,31,.355,17,38,.447,.486,8,11,.727,7,10,17,20,6,0,11,28,75
13,Derrick Rose,29,9,0,112,23,54,.426,1,6,.167,22,48,.458,.435,5,5,1.000,3,3,6,11,4,0,7,2,52
14,Cole Aldrich,29,21,0,49,5,15,.333,0,0,,5,15,.333,.333,2,6,.333,3,12,15,3,2,1,1,11,12
15,Anthony Brown,25,1,0,4,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,1,0,0,0,0,3
16,Justin Patton,20,1,0,4,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,1,0,0,1,2
,,,82,,19805,3365,7063,.476,658,1845,.357,2707,5218,.519,.523,1592,1980,.804,848,2593,3441,1861,689,345,1021,1495,8980
